tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26651,1650215005.83,"19:03:25,830000",3139,4963,830,0.015,0.063,-0.003,56,1,954,"{'x': 0.25, 'y': -0.0625, 'z': -0.0625}","{'x': 1.1875, 'y': 6.75, 'z': -16.75}",2
26660,1650215005.905,"19:03:25,905000",3379,5564,1299,4.671,0.076,0.049,133,23,931,"{'x': 16.4375, 'y': -3.9375, 'z': 16.1875}","{'x': 15.1875, 'y': 1.0625, 'z': -43.0625}",2
26651,1650215005.996,"19:03:25,996000",3141,4965,827,0.015,0.063,-0.003,56,2,954,"{'x': -0.0625, 'y': 0.125, 'z': 0.0625}","{'x': 0.375, 'y': 7.875, 'z': -16.75}",2
26651,1650215006.165,"19:03:26,165000",3146,4965,818,0.015,0.063,-0.003,56,0,955,"{'x': -0.125, 'y': -0.125, 'z': -0.1875}","{'x': 0.375, 'y': 7.875, 'z': -17.5625}",2
26660,1650215006.244,"19:03:26,244000",3388,5579,1257,4.619,0.026,0.004,-40,-6,895,"{'x': 35.5, 'y': -6, 'z': 13.875}","{'x': 16.25, 'y': -2.5625, 'z': -43.5625}",2
26651,1650215006.336,"19:03:26,336000",3146,4967,826,0.015,0.063,-0.003,58,1,952,"{'x': 0.1875, 'y': -0.125, 'z': -0.125}","{'x': 0.375, 'y': 7.5625, 'z': -17.5625}",2
26660,1650215006.412,"19:03:26,412000",3371,5595,1180,4.603,-0.012,-0.031,-53,140,841,"{'x': 4.125, 'y': 13.5, 'z': 1.1875}","{'x': 17.75, 'y': -4.875, 'z': -41.875}",2
26651,1650215006.481,"19:03:26,481000",3148,4967,826,0.015,0.063,-0.003,56,0,954,"{'x': -0.125, 'y': 0.125, 'z': -0.125}","{'x': 0.75, 'y': 7.5625, 'z': -16.75}",2
26660,1650215006.558,"19:03:26,558000",3359,5614,1158,4.596,-0.024,-0.04,-95,117,913,"{'x': 7.5, 'y': 2.25, 'z': 5.0625}","{'x': 18.875, 'y': -6.375, 'z': -42.6875}",2
26651,1650215006.647,"19:03:26,647000",3154,4966,830,0.015,0.063,-0.003,56,2,954,"{'x': -0.0625, 'y': 0.125, 'z': 0.125}","{'x': 1.1875, 'y': 7.1875, 'z': -18.0625}",2
26660,1650215006.719,"19:03:26,719000",3352,5640,1153,4.586,-0.025,-0.064,-100,138,961,"{'x': 4.9375, 'y': 6.0625, 'z': 1.25}","{'x': 19.25, 'y': -6.5625, 'z': -42.6875}",2
26651,1650215006.802,"19:03:26,802000",3153,4967,828,0.015,0.063,-0.003,55,4,953,"{'x': -0.3125, 'y': 0.25, 'z': 0.0625}","{'x': 1.5625, 'y': 7.875, 'z': -16.375}",2
26660,1650215006.867,"19:03:26,867000",3342,5669,1147,4.555,-0.007,-0.111,35,108,1131,"{'x': 2.375, 'y': -12.6875, 'z': 11.9375}","{'x': 18.1875, 'y': -8.875, 'z': -40.75}",2
26651,1650215006.947,"19:03:26,947000",3157,4966,833,0.015,0.063,-0.003,57,0,954,"{'x': 0.0625, 'y': 0, 'z': 0.0625}","{'x': 0.75, 'y': 7.1875, 'z': -17.1875}",2
26660,1650215007.027,"19:03:27,027000",3338,5709,1168,4.523,-0.026,-0.089,-45,-27,926,"{'x': -14.625, 'y': -3.9375, 'z': 21.125}","{'x': 18.875, 'y': -9.6875, 'z': -42.875}",2
26651,1650215007.101,"19:03:27,101000",3152,4966,869,0.015,0.063,-0.003,57,1,954,"{'x': 0.25, 'y': -0.1875, 'z': -0.0625}","{'x': 0.375, 'y': 8.25, 'z': -16.375}",2
26660,1650215007.175,"19:03:27,175000",3326,5750,1158,4.469,-0.024,-0.075,-10,137,873,"{'x': -10.6875, 'y': 13.875, 'z': 17.5}","{'x': 18.5, 'y': -9.6875, 'z': -42.375}",2
26651,1650215007.26,"19:03:27,260000",3149,4963,890,0.015,0.063,-0.003,57,1,955,"{'x': 0.0625, 'y': 0.0625, 'z': 0.1875}","{'x': 1.1875, 'y': 7.875, 'z': -17.5625}",2
26651,1650215007.459,"19:03:27,459000",3152,4964,903,0.015,0.063,-0.003,58,2,953,"{'x': 0.1875, 'y': 0, 'z': 0}","{'x': 0.375, 'y': 8.25, 'z': -16.75}",2
26660,1650215007.53,"19:03:27,530000",3309,5806,1128,4.276,0.011,-0.084,-29,-41,1176,"{'x': -7.5, 'y': -8.375, 'z': 53.125}","{'x': 17.1875, 'y': -12.5625, 'z': -42.375}",2
26651,1650215007.601,"19:03:27,601000",3154,4964,911,0.015,0.063,-0.003,56,1,956,"{'x': 0.125, 'y': 0, 'z': -0.0625}","{'x': 1.1875, 'y': 7.1875, 'z': -17.1875}",2
26660,1650215007.682,"19:03:27,682000",3287,5853,1088,4.151,0.008,-0.116,-92,140,925,"{'x': -15.125, 'y': 1.4375, 'z': 45.9375}","{'x': 15.875, 'y': -15.1875, 'z': -42}",2
26651,1650215007.766,"19:03:27,766000",3155,4964,897,0.015,0.063,-0.003,56,3,956,"{'x': 0.125, 'y': 0, 'z': -0.125}","{'x': 1.1875, 'y': 7.5625, 'z': -16.375}",2
26660,1650215007.843,"19:03:27,843000",3269,5916,1096,4.043,-0.017,-0.077,-103,145,936,"{'x': 7, 'y': 6.8125, 'z': 28.125}","{'x': 14.5, 'y': -17.0625, 'z': -41.5625}",2
26651,1650215007.919,"19:03:27,919000",3157,4963,912,0.015,0.063,-0.003,58,3,955,"{'x': 0, 'y': 0.125, 'z': 0.0625}","{'x': 0.75, 'y': 7.5625, 'z': -16.75}",2
26660,1650215008,"19:03:28,000000",3236,5983,1109,3.94,-0.016,-0.111,-39,163,974,"{'x': 8.1875, 'y': -7.75, 'z': 37.25}","{'x': 13, 'y': -18.5625, 'z': -40.75}",2
26651,1650215008.08,"19:03:28,080000",3158,4965,912,0.015,0.063,-0.003,58,1,955,"{'x': -0.0625, 'y': 0.0625, 'z': -0.0625}","{'x': 0.75, 'y': 7.5625, 'z': -16.75}",2
26660,1650215008.15,"19:03:28,150000",3211,6055,1115,3.871,-0.023,-0.141,-104,16,1053,"{'x': -7.25, 'y': 5.875, 'z': 9.8125}","{'x': 11.875, 'y': -20.75, 'z': -40.75}",2
26651,1650215008.246,"19:03:28,246000",3159,4964,937,0.015,0.063,-0.003,55,2,955,"{'x': 0.1875, 'y': 0.125, 'z': -0.125}","{'x': 0.75, 'y': 7.875, 'z': -16.375}",2
26660,1650215008.318,"19:03:28,318000",3181,6130,1121,3.82,-0.011,-0.125,-32,31,944,"{'x': -12.8125, 'y': 2.75, 'z': 22.5}","{'x': 11.1875, 'y': -21.5, 'z': -40.5}",2
26651,1650215008.394,"19:03:28,394000",3156,4963,944,0.015,0.063,-0.003,56,3,954,"{'x': -0.125, 'y': 0, 'z': -0.125}","{'x': 1.1875, 'y': 7.5625, 'z': -16.75}",2
26660,1650215008.476,"19:03:28,476000",3149,6212,1151,3.747,0,-0.121,10,147,896,"{'x': -12.5, 'y': -4.9375, 'z': 26.875}","{'x': 10, 'y': -21.875, 'z': -40.25}",2
26651,1650215008.566,"19:03:28,566000",3154,4962,950,0.015,0.063,-0.003,57,1,955,"{'x': 0, 'y': -0.0625, 'z': -0.125}","{'x': 0.75, 'y': 8.25, 'z': -16.75}",2
26660,1650215008.627,"19:03:28,627000",3106,6284,1190,3.667,0.013,-0.096,-35,115,1042,"{'x': 2.9375, 'y': 3.5, 'z': 34.375}","{'x': 7, 'y': -21.5, 'z': -40.875}",2
26651,1650215008.724,"19:03:28,724000",3156,4962,939,0.015,0.063,-0.003,55,1,954,"{'x': 0.1875, 'y': 0, 'z': -0.0625}","{'x': 0.75, 'y': 7.5625, 'z': -17.1875}",2
26660,1650215008.808,"19:03:28,808000",3072,6360,1268,3.551,-0.002,-0.11,-119,-58,1096,"{'x': -29.5, 'y': -2.75, 'z': 43.9375}","{'x': 6.375, 'y': -22.5625, 'z': -41.25}",2
26651,1650215008.883,"19:03:28,883000",3159,4962,939,0.015,0.063,-0.003,58,0,955,"{'x': 0.1875, 'y': 0.0625, 'z': -0.0625}","{'x': 0.75, 'y': 7.875, 'z': -16.375}",2
26660,1650215008.95,"19:03:28,950000",3032,6435,1330,3.434,-0.007,-0.104,-132,126,874,"{'x': -13.125, 'y': -11.5625, 'z': 42}","{'x': 5.1875, 'y': -21.75, 'z': -41.25}",2
26651,1650215009.031,"19:03:29,031000",3156,4962,958,0.015,0.063,-0.003,56,1,955,"{'x': -0.0625, 'y': -0.0625, 'z': 0.125}","{'x': 1.1875, 'y': 7.5625, 'z': -15.875}",2
26651,1650215009.214,"19:03:29,214000",3152,4961,962,0.015,0.063,-0.003,57,2,955,"{'x': -0.125, 'y': 0, 'z': 0}","{'x': 0.375, 'y': 7.5625, 'z': -16.375}",2
26651,1650215009.392,"19:03:29,392000",3156,4961,952,0.015,0.063,-0.003,55,2,955,"{'x': 0.1875, 'y': 0, 'z': 0.125}","{'x': 1.1875, 'y': 7.5625, 'z': -15.875}",2
26660,1650215009.467,"19:03:29,467000",2887,6568,1335,3.169,-0.011,-0.087,19,-2,1018,"{'x': 23.75, 'y': 0.125, 'z': 21.4375}","{'x': 0.375, 'y': -23.875, 'z': -41.25}",2
26651,1650215009.543,"19:03:29,543000",3161,4962,938,0.015,0.063,-0.003,56,1,952,"{'x': -0.25, 'y': 0.125, 'z': 0.125}","{'x': 0.75, 'y': 7.5625, 'z': -16.75}",2
26651,1650215009.721,"19:03:29,721000",3163,4961,943,0.015,0.063,-0.003,56,3,956,"{'x': 0.125, 'y': -0.0625, 'z': 0}","{'x': 0.75, 'y': 7.875, 'z': -15.875}",2
26660,1650215009.791,"19:03:29,791000",2790,6613,1330,3.086,-0.02,-0.058,-56,111,980,"{'x': -14, 'y': 5.9375, 'z': 23.0625}","{'x': -1.0625, 'y': -22.75, 'z': -40.875}",2
26651,1650215009.876,"19:03:29,876000",3166,4960,938,0.015,0.063,-0.003,56,1,955,"{'x': -0.125, 'y': 0.0625, 'z': 0}","{'x': 0.375, 'y': 7.1875, 'z': -17.1875}",2
26660,1650215009.943,"19:03:29,943000",2708,6669,1350,3.013,-0.017,-0.084,-84,82,1023,"{'x': 28.9375, 'y': 1.75, 'z': 34.1875}","{'x': -1.375, 'y': -21.6875, 'z': -42.5}",2
26651,1650215010.052,"19:03:30,052000",3165,4961,947,0.015,0.063,-0.003,55,0,951,"{'x': 0.0625, 'y': 0, 'z': 0}","{'x': -0.375, 'y': 6.75, 'z': -15.875}",2
26660,1650215010.113,"19:03:30,113000",2615,6705,1381,2.899,-0.012,-0.098,-140,122,632,"{'x': 46.875, 'y': 6.8125, 'z': 47.625}","{'x': -4.0625, 'y': -22.75, 'z': -42.0625}",2
26651,1650215010.204,"19:03:30,204000",3159,4961,949,0.015,0.063,-0.003,58,3,952,"{'x': -0.1875, 'y': 0, 'z': 0.0625}","{'x': 0, 'y': 8.25, 'z': -17.5625}",2
26660,1650215010.274,"19:03:30,274000",2505,6736,1422,2.791,0.02,-0.073,-46,58,918,"{'x': 12.9375, 'y': -1.25, 'z': 41.625}","{'x': -6.875, 'y': -21.1875, 'z': -42.0625}",2
26651,1650215010.367,"19:03:30,367000",3159,4958,941,0.015,0.063,-0.003,59,1,955,"{'x': 0.125, 'y': 0.1875, 'z': -0.0625}","{'x': 1.1875, 'y': 8.25, 'z': -17.5625}",2
26660,1650215010.447,"19:03:30,447000",2373,6745,1414,2.699,0.022,-0.083,-40,112,983,"{'x': 5.625, 'y': 1.3125, 'z': 28}","{'x': -10.6875, 'y': -20.5, 'z': -41.6875}",2
26651,1650215010.527,"19:03:30,527000",3162,4957,926,0.015,0.063,-0.003,58,2,956,"{'x': -0.125, 'y': -0.0625, 'z': 0}","{'x': 0.375, 'y': 8.25, 'z': -16.75}",2
26660,1650215010.604,"19:03:30,604000",2255,6748,1407,2.645,0.016,-0.1,-106,-110,1171,"{'x': -28.875, 'y': 6.1875, 'z': 12.9375}","{'x': -10.25, 'y': -20.5, 'z': -42.0625}",2
26651,1650215010.693,"19:03:30,693000",3164,4958,930,0.015,0.063,-0.003,57,1,951,"{'x': 0, 'y': 0, 'z': 0.0625}","{'x': 0.375, 'y': 7.875, 'z': -15.875}",2
